Indiv Population MDS
P001_WA4 P8 -0.356098902333497
P001_WB4 P8 -0.306117398236097
P001_WC4 P8 -0.319433821184647
P001_WD4 P9 -0.312295603053941
P001_WE4 P9 -0.30548846814934
P001_WF4 P9 -0.321754066480196
P001_WG4 P10 -0.35181090453463
P001_WH4 P10 -0.360482258492758
P001_WA5 P10 -0.334371880493346
P001_WB5 P11 -0.353677033547994
P001_WC5 P11 -0.364979556437217
P001_WD5 P11 -0.316064673407958
P001_WE5 P12 -0.346173486959635
P001_WF5 P12 -0.326161279095065
P001_WG5 P12 -0.36525688470997
P001_WH5 P13 -0.264855366596547
P001_WA6 P13 -0.298041179364143
P001_WB6 P14 -0.281043835402234
P001_WC6 P14 -0.297540101888593
P001_WD6 P14 -0.327508831684314
P001_WE6 P14 -0.264289472601956
P001_WE7 P17 -0.301229428402549
P001_WF7 P17 -0.217302844290882
P001_WG7 P17 -0.292306738733308
P001_WH7 P18 -0.33181469921961
P001_WA8 P18 -0.340655945674456
P001_WB8 P18 -0.341934393874161
P001_WC8 P18 -0.299805047003704
P001_WE8 P19 -0.318219822479381
P001_WF8 P19 -0.381239384005745
P001_WG8 P19 -0.317430660719545
P001_WH8 P20 -0.361336588109558
P001_WA9 P20 -0.341320937508695
P001_WB9 P20 -0.319845441612259
P001_WC9 P20 -0.338942693271767
P002_WE04 P32 -0.270232415786592
P002_WG04 P33 -0.368077581023621
P002_WH04 P33 -0.371201797199207
P002_WA05 P33 -0.328505679474137
P002_WE05 P35 -0.26654672483354
P002_WF05 P35 -0.289656026074269
