Indiv Population MDS
P001_WA1 P1 0.104649390542267
P001_WB1 P1 0.213376172959896
P001_WC1 P1 0.19953574099018
P001_WG1 P3 0.114826591909718
P001_WH1 P3 0.248144348717937
P001_WA2 P3 0.28012233568771
P001_WB2 P4 0.208839650226403
P001_WC2 P4 0.163166246897261
P001_WD2 P4 0.238927579236938
P001_WG2 P5 0.327596409988955
P001_WH2 P5 0.182671655593648
P001_WA3 P6 0.256002634291971
P001_WB3 P6 0.394961564723999
P001_WF6 P15 0.347889574116471
P001_WG6 P15 0.325569827721295
P001_WH6 P15 0.346574782791378
P001_WA7 P15 0.346574782791378
P002_WA01 P21 0.0985154239557094
P002_WB01 P21 0.208208033359632
P002_WH02 P27 0.185578193243776
P002_WA03 P27 0.190725745770342
P002_WB04 P31 0.279335820347605
P002_WC04 P31 0.349010620663849
P002_WB05 P34 0.186882598447438
P002_WC05 P34 0.207474255140741
